St. Louis, Missouri January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193901,38.6,7.8
193902,36.4,3.2
193903,40.2,3.0
193904,43.5,1.4
193905,48.6,1.6
193906,53.2,1.3
193907,57.1,1.2
193908,59.6,0.9
193909,61.4,1.4
193910,61.4,1.4
193911,59.8,1.1
193912,57.9,1.2
194001,15.1,-15.7
194002,24.2,-9.0
194003,30.5,-6.7
194004,36.5,-5.6
194005,41.9,-5.1
194006,47.7,-4.2
194007,52.3,-3.6
194008,55.5,-3.2
194009,57.1,-2.9
194010,57.8,-2.2
194011,56.4,-2.3
194012,55.0,-1.7
194101,34.4,3.6
194102,33.3,0.1
194103,35.5,-1.7
194104,41.6,-0.5
194105,47.4,0.4
194106,52.3,0.4
194107,56.4,0.5
194108,59.5,0.8
194109,61.0,1.0
194110,61.1,1.1
194111,59.7,1.0
194112,58.1,1.4
194201,31.8,1.0
194202,32.7,-0.5
194203,37.3,0.1
194204,43.1,1.0
194205,47.6,0.6
194206,52.2,0.3
194207,56.3,0.4
194208,58.8,0.1
194209,60.0,0.0
194210,59.9,-0.1
194211,58.8,0.1
194212,56.6,-0.1
194301,31.0,0.2
194302,35.2,2.0
194303,36.8,-0.4
194304,41.4,-0.7
194305,46.2,-0.8
194306,51.5,-0.4
194307,55.9,0.0
194308,59.1,0.4
194309,59.9,-0.1
194310,59.6,-0.4
194311,58.0,-0.7
194312,55.8,-0.9
194401,36.4,5.6
194402,37.0,3.8
194403,38.4,1.2
194404,42.2,0.1
194405,48.0,1.0
194406,53.3,1.4
194407,57.1,1.2
194408,59.8,1.1
194409,61.0,1.0
194410,60.9,0.9
194411,59.6,0.9
194412,57.0,0.3
194501,28.1,-2.7
194502,31.8,-1.4
194503,39.3,2.1
194504,43.8,1.7
194505,47.3,0.3
194506,51.3,-0.6
194507,55.1,-0.8
194508,58.0,-0.7
194509,59.3,-0.7
194510,59.1,-0.9
194511,57.9,-0.8
194512,55.4,-1.3
194601,33.9,3.1
194602,37.1,3.9
194603,43.7,6.5
194604,47.9,5.8
194605,51.0,4.0
194606,55.3,3.4
194607,58.9,3.0
194608,60.7,2.0
194609,61.7,1.7
194610,61.7,1.7
194611,60.5,1.8
194612,58.8,2.1
194701,36.7,5.9
194702,32.6,-0.6
194703,34.0,-3.2
194704,39.3,-2.8
194705,44.2,-2.8
194706,49.2,-2.7
194707,53.2,-2.7
194708,57.3,-1.4
194709,58.9,-1.1
194710,59.6,-0.4
194711,57.9,-0.8
194712,56.3,-0.4
194801,25.7,-5.1
194802,29.6,-3.6
194803,34.2,-3.0
194804,40.8,-1.3
194805,45.7,-1.3
194806,50.7,-1.2
194807,54.8,-1.1
194808,57.8,-0.9
194809,59.4,-0.6
194810,59.1,-0.9
194811,58.0,-0.7
194812,56.3,-0.4
194901,32.5,1.7
194902,34.5,1.3
194903,37.7,0.5
194904,41.8,-0.3
194905,47.4,0.4
194906,52.5,0.6
194907,56.7,0.8
194908,59.3,0.6
194909,59.9,-0.1
194910,59.9,-0.1
194911,58.9,0.2
194912,57.4,0.7
195001,37.8,7.0
195002,37.3,4.1
195003,38.6,1.4
195004,41.8,-0.3
195005,47.1,0.1
195006,51.7,-0.2
195007,55.3,-0.6
195008,57.5,-1.2
195009,58.7,-1.3
195010,59.3,-0.7
195011,57.4,-1.3
195012,55.0,-1.7
195101,32.8,2.0
195102,34.2,1.0
195103,36.3,-0.9
195104,40.4,-1.7
195105,46.1,-0.9
195106,50.6,-1.3
195107,54.7,-1.2
195108,57.6,-1.1
195109,58.6,-1.4
195110,58.7,-1.3
195111,56.9,-1.8
195112,55.0,-1.7
195201,36.1,5.3
195202,38.1,4.9
195203,39.7,2.5
195204,43.6,1.5
195205,48.3,1.3
195206,54.3,2.4
195207,58.3,2.4
195208,60.7,2.0
195209,61.8,1.8
195210,61.1,1.1
195211,59.7,1.0
195212,57.8,1.1
195301,35.4,4.6
195302,37.8,4.6
195303,40.9,3.7
195304,43.9,1.8
195305,48.8,1.8
195306,54.4,2.5
195307,58.4,2.5
195308,61.0,2.3
195309,62.4,2.4
195310,62.4,2.4
195311,61.0,2.3
195312,59.1,2.4
195401,32.8,2.0
195402,38.5,5.3
195403,39.8,2.6
195404,45.6,3.5
195405,49.0,2.0
195406,54.2,2.3
195407,58.8,2.9
195408,61.6,2.9
195409,63.1,3.1
195410,62.7,2.7
195411,61.2,2.5
195412,59.2,2.5
195501,33.2,2.4
195502,34.7,1.5
195503,38.2,1.0
195504,44.6,2.5
195505,49.5,2.5
195506,53.4,1.5
195507,57.8,1.9
195508,60.7,2.0
195509,62.2,2.2
195510,61.9,1.9
195511,60.1,1.4
195512,57.8,1.1
195601,29.3,-1.5
195602,33.2,0.0
195603,37.3,0.1
195604,41.5,-0.6
195605,47.0,0.0
195606,52.0,0.1
195607,55.9,0.0
195608,58.9,0.2
195609,60.3,0.3
195610,60.8,0.8
195611,59.3,0.6
195612,57.6,0.9
195701,27.0,-3.8
195702,33.8,0.6
195703,37.2,0.0
195704,42.1,0.0
195705,47.1,0.1
195706,52.1,0.2
195707,56.2,0.3
195708,59.2,0.5
195709,60.3,0.3
195710,59.8,-0.2
195711,58.4,-0.3
195712,56.9,0.2
195801,31.4,0.6
195802,28.6,-4.6
195803,31.9,-5.3
195804,38.0,-4.1
195805,43.8,-3.2
195806,48.6,-3.3
195807,52.8,-3.1
195808,56.0,-2.7
195809,57.5,-2.5
195810,57.7,-2.3
195811,56.9,-1.8
195812,54.7,-2.0
195901,27.8,-3.0
195902,32.1,-1.1
195903,36.8,-0.4
195904,42.0,-0.1
195905,47.6,0.6
195906,52.5,0.6
195907,56.3,0.4
195908,59.4,0.7
195909,60.8,0.8
195910,60.5,0.5
195911,58.6,-0.1
195912,57.0,0.3
196001,34.2,3.4
196002,32.8,-0.4
196003,32.2,-5.0
196004,39.1,-3.0
196005,43.9,-3.1
196006,49.0,-2.9
196007,53.0,-2.9
196008,56.4,-2.3
196009,58.4,-1.6
196010,58.5,-1.5
196011,57.5,-1.2
196012,55.3,-1.4
196101,30.7,-0.1
196102,34.3,1.1
196103,38.7,1.5
196104,42.1,0.0
196105,46.1,-0.9
196106,50.8,-1.1
196107,54.8,-1.1
196108,57.6,-1.1
196109,59.3,-0.7
196110,59.4,-0.6
196111,58.2,-0.5
196112,56.1,-0.6
196201,26.3,-4.5
196202,32.2,-1.0
196203,35.2,-2.0
196204,40.1,-2.0
196205,46.8,-0.2
196206,51.6,-0.3
196207,55.3,-0.6
196208,58.0,-0.7
196209,59.1,-0.9
196210,59.5,-0.5
196211,58.3,-0.4
196212,56.1,-0.6
196301,22.9,-7.9
196302,26.5,-6.7
196303,34.4,-2.8
196304,40.8,-1.3
196305,45.7,-1.3
196306,50.9,-1.0
196307,54.9,-1.0
196308,57.6,-1.1
196309,59.0,-1.0
196310,59.9,-0.1
196311,58.8,0.1
196312,55.9,-0.8
196401,36.3,5.5
196402,36.1,2.9
196403,38.7,1.5
196404,44.1,2.0
196405,49.5,2.5
196406,54.0,2.1
196407,57.7,1.8
196408,60.2,1.5
196409,61.4,1.4
196410,60.8,0.8
196411,59.7,1.0
196412,57.6,0.9
196501,33.5,2.7
196502,34.4,1.2
196503,35.0,-2.2
196504,41.2,-0.9
196505,47.4,0.4
196506,52.3,0.4
196507,56.0,0.1
196508,58.6,-0.1
196509,60.0,0.0
196510,59.8,-0.2
196511,58.9,0.2
196512,57.6,0.9
196601,26.5,-4.3
196602,30.1,-3.1
196603,36.2,-1.0
196604,40.4,-1.7
196605,45.0,-2.0
196606,50.0,-1.9
196607,55.0,-0.9
196608,57.6,-1.1
196609,58.6,-1.4
196610,58.3,-1.7
196611,57.5,-1.2
196612,55.7,-1.0
196701,36.3,5.5
196702,34.6,1.4
196703,39.7,2.5
196704,44.8,2.7
196705,48.3,1.3
196706,52.8,0.9
196707,56.2,0.3
196708,58.4,-0.3
196709,59.5,-0.5
196710,59.4,-0.6
196711,58.0,-0.7
196712,56.2,-0.5
196801,30.2,-0.6
196802,30.5,-2.7
196803,36.2,-1.0
196804,41.4,-0.7
196805,45.8,-1.2
196806,51.3,-0.6
196807,55.3,-0.6
196808,58.3,-0.4
196809,59.5,-0.5
196810,59.4,-0.6
196811,58.1,-0.6
196812,56.1,-0.6
196901,30.3,-0.5
196902,33.4,0.2
196903,35.2,-2.0
196904,40.9,-1.2
196905,46.1,-0.9
196906,50.7,-1.2
196907,55.1,-0.8
196908,58.0,-0.7
196909,59.4,-0.6
196910,59.2,-0.8
196911,57.8,-0.9
196912,55.8,-0.9
197001,25.9,-4.9
197002,30.0,-3.2
