Kategoria: Wszystko

Miesiąc,vacation: (Stany Zjednoczone)
2004-01,95
2004-02,86
2004-03,82
2004-04,74
2004-05,84
2004-06,93
2004-07,95
2004-08,77
2004-09,63
2004-10,60
2004-11,61
2004-12,67
2005-01,100
2005-02,89
2005-03,87
2005-04,76
2005-05,79
2005-06,93
2005-07,86
2005-08,73
2005-09,52
2005-10,52
2005-11,55
2005-12,58
2006-01,86
2006-02,76
2006-03,77
2006-04,69
2006-05,76
2006-06,84
2006-07,87
2006-08,67
2006-09,55
2006-10,53
2006-11,53
2006-12,60
2007-01,89
2007-02,80
2007-03,77
2007-04,76
2007-05,77
2007-06,87
2007-07,84
2007-08,69
2007-09,54
2007-10,50
2007-11,51
2007-12,53
2008-01,84
2008-02,73
2008-03,74
2008-04,67
2008-05,72
2008-06,80
2008-07,76
2008-08,61
2008-09,47
2008-10,44
2008-11,46
2008-12,52
2009-01,75
2009-02,67
2009-03,70
2009-04,62
2009-05,66
2009-06,78
2009-07,80
2009-08,64
2009-09,46
2009-10,45
2009-11,47
2009-12,54
2010-01,76
2010-02,68
2010-03,66
2010-04,60
2010-05,68
2010-06,79
2010-07,68
2010-08,54
2010-09,40
2010-10,34
2010-11,39
2010-12,46
2011-01,68
2011-02,62
2011-03,64
2011-04,56
2011-05,59
2011-06,72
2011-07,70
2011-08,58
2011-09,42
2011-10,37
2011-11,38
2011-12,48
2012-01,61
2012-02,56
2012-03,53
2012-04,50
2012-05,55
2012-06,63
2012-07,62
2012-08,48
2012-09,37
2012-10,35
2012-11,35
2012-12,50
2013-01,61
2013-02,54
2013-03,51
2013-04,50
2013-05,49
2013-06,59
2013-07,61
2013-08,48
2013-09,36
2013-10,35
2013-11,37
2013-12,47
2014-01,58
2014-02,51
2014-03,54
2014-04,50
2014-05,52
2014-06,60
2014-07,61
2014-08,48
2014-09,39
2014-10,33
2014-11,36
2014-12,51
2015-01,56
2015-02,51
2015-03,52
2015-04,49
2015-05,53
2015-06,63
2015-07,73
2015-08,67
2015-09,43
2015-10,40
2015-11,42
2015-12,52
2016-01,56
2016-02,52
2016-03,55
2016-04,51
2016-05,55
2016-06,62
2016-07,61
2016-08,45
2016-09,38
2016-10,37
2016-11,38
2016-12,55
2017-01,58
2017-02,57
2017-03,54
2017-04,50
2017-05,53
2017-06,60
2017-07,63
2017-08,48
2017-09,37
2017-10,36
2017-11,40
2017-12,55
2018-01,54
2018-02,51
2018-03,52
2018-04,54
2018-05,48
2018-06,59
2018-07,60
2018-08,48
2018-09,38
2018-10,35
2018-11,41
2018-12,55
2019-01,52
2019-02,49
2019-03,50
2019-04,44
2019-05,45
2019-06,56
2019-07,53
2019-08,43
2019-09,38
2019-10,36
2019-11,41
2019-12,59
2020-01,54
2020-02,50
2020-03,33
2020-04,25
2020-05,40
2020-06,54
2020-07,48
2020-08,42
2020-09,35
2020-10,35
2020-11,38
2020-12,54
2021-01,42
2021-02,45
2021-03,53
2021-04,53
2021-05,58
2021-06,61
2021-07,59
2021-08,49
2021-09,40
2021-10,38
2021-11,47
2021-12,57
2022-01,54
2022-02,51
2022-03,52
2022-04,46
2022-05,44
2022-06,55
2022-07,54
2022-08,47
2022-09,37
2022-10,35
2022-11,40
2022-12,58
2023-01,49
2023-02,45
2023-03,45
2023-04,41
2023-05,43
2023-06,47
2023-07,52
2023-08,46
2023-09,34
2023-10,31
2023-11,41
2023-12,53
2024-01,43
2024-02,42
2024-03,41
